Siruta,Localitate,Judet,Abs_liceal,Abs_postlic,Abs_primar_gimn,Abs_profes,Abs_tehnic,Abs_univ,Pop_liceal,Pop_profess,Pop_primar_gimn,Pop_univ
121055,Oras Targu Neamt,NT,547,51,234,37,0,0,2861,172,2085,0
121108,Agapia,NT,25,0,23,0,0,0,62,0,218,0
121153,Bahna,NT,0,0,35,0,0,0,0,0,333,0
121242,Baltatesti,NT,0,0,55,0,0,0,0,0,317,0
121297,Bicaz-Chei,NT,0,0,40,0,0,0,0,0,409,0
121340,Bicazu Ardelean,NT,0,0,28,0,0,0,0,0,289,0
121386,Bira,NT,0,0,19,0,0,0,0,0,174,0
121466,Bargauani,NT,0,0,47,0,0,0,0,0,251,0
121607,Bodesti,NT,0,0,34,0,0,0,0,0,289,0
121652,Borca,NT,102,0,55,21,0,0,401,93,541,0
121732,Borlesti,NT,0,0,76,0,0,0,0,0,603,0
121796,Botesti,NT,24,0,70,14,0,0,133,0,404,0
121876,Bozieni,NT,0,0,52,0,0,0,0,0,311,0
121938,Brusturi,NT,0,0,56,0,0,0,0,0,341,0
122025,Ceahlau,NT,0,0,15,0,0,0,0,0,162,0
122061,Candesti,NT,0,0,35,0,0,0,0,0,251,0
122132,Costisa,NT,0,0,41,0,0,0,0,0,249,0
122187,Cracaoani,NT,0,0,46,0,0,0,0,0,349,0
122249,Damuc,NT,0,0,29,0,0,0,17,14,245,0
122285,Dobreni,NT,0,0,12,0,0,0,0,0,94,0
122347,Doljesti,NT,0,0,65,0,0,0,0,0,537,0
122392,Dragomiresti,NT,0,0,28,0,0,0,0,0,222,0
122463,Dulcesti,NT,0,0,13,0,0,0,0,0,158,0
122551,Farcasa,NT,0,0,36,0,0,0,0,0,253,0
122613,Faurei,NT,0,0,32,0,0,0,0,0,181,0
122668,Gheraesti,NT,0,0,45,0,0,0,0,0,444,0
122702,Girov,NT,0,0,32,0,0,0,0,0,269,0
122828,Garcina,NT,0,0,36,0,0,0,0,0,255,0
122864,Grinties,NT,0,0,21,0,0,0,0,0,164,0
122908,Grumazesti,NT,0,0,50,0,0,0,0,0,366,0
122953,Hangu,NT,0,0,43,0,0,0,0,0,221,0
123013,Icusesti,NT,0,0,44,0,0,0,0,0,459,0
123102,Ion Creanga,NT,0,0,43,0,0,0,0,0,455,0
123175,Margineni,NT,0,0,38,0,0,0,0,0,294,0
123228,Moldoveni,NT,0,0,21,0,0,0,0,0,153,0
123255,Oniceni,NT,0,0,48,0,0,0,0,0,548,0
123371,Pastraveni,NT,0,0,52,0,0,0,0,0,399,0
123424,Petricani,NT,9,0,70,0,0,0,12,102,631,0
123479,Piatra Soimului,NT,0,0,52,0,0,0,0,0,523,0
123521,Pipirig,NT,44,0,115,25,0,0,173,148,744,0
123601,Pangarati,NT,0,0,52,0,0,0,0,0,349,0
123674,Podoleni,NT,0,0,42,0,0,0,0,0,326,0
123709,Poienari,NT,0,0,18,0,0,0,0,0,129,0
123790,Poiana Teiului,NT,0,0,61,0,0,0,0,0,418,0
123914,Raucesti,NT,0,0,80,15,0,0,0,50,778,0
123969,Razboieni,NT,0,0,21,0,0,0,0,0,157,0
124028,Rediu,NT,0,0,32,0,0,0,0,0,345,0
124073,Romani,NT,0,0,47,0,0,0,0,0,332,0
124117,Oras Roznov,NT,93,0,87,36,0,0,309,133,619,0
124153,Sagna,NT,0,0,36,0,0,0,0,0,336,0
124206,Sabaoani,NT,81,0,72,0,0,0,436,0,635,0
124233,Secuieni,NT,0,0,26,0,0,0,0,0,181,0
124331,Stanita,NT,0,0,15,0,0,0,0,0,256,0
124411,Stefan Cel Mare,NT,0,0,17,21,0,0,0,99,191,0
124493,Tarcau,NT,0,0,29,0,0,0,0,0,182,0
124563,Tasca,NT,0,0,20,0,0,0,0,0,155,0
124616,Tazlau,NT,0,0,28,0,0,0,0,0,213,0
124634,Tamaseni,NT,0,0,93,20,0,0,0,84,721,0
124661,Timisesti,NT,0,0,45,0,0,0,0,0,330,0
124723,Trifesti,NT,0,0,49,0,0,0,0,0,363,0
124750,Tupilati,NT,0,0,25,0,0,0,0,0,175,0
124803,Tibucani,NT,0,0,42,0,0,0,0,0,319,0
124849,Urecheni,NT,0,0,52,0,0,0,0,0,297,0
124885,Valea Ursului,NT,0,0,43,18,0,0,0,80,501,0
124938,Alexandru Cel Bun,NT,0,0,24,0,0,0,0,0,345,0
125016,Vanatori-Neamt,NT,31,0,71,0,0,0,193,48,589,0
125061,Zanesti,NT,0,0,47,0,0,0,0,0,347,0
125098,Dochia,NT,0,0,22,0,0,0,0,0,228,0
125105,Ruginoasa,NT,0,0,17,0,0,0,0,0,119,0
125114,Ghindaoani,NT,0,0,16,0,0,0,0,0,113,0
125123,Valeni,NT,0,0,9,0,0,0,0,0,139,0
125132,Draganesti,NT,0,0,22,0,0,0,0,0,134,0
125141,Pancesti,NT,0,0,12,0,0,0,0,0,150,0
125150,Gadinti,NT,0,0,18,0,0,0,0,0,167,0
125169,Negresti,NT,0,0,13,0,0,0,0,0,133,0
125178,Boghicea,NT,0,0,37,0,0,0,0,0,508,0
125347,Municipiul Slatina,OT,1506,817,701,34,88,109,6497,637,6553,575
125374,Slatioara,OT,0,0,5,0,0,0,0,0,77,0
125418,Oras Bals,OT,324,102,184,13,0,0,1288,236,1637,0
125472,Municipiul Caracal,OT,870,132,331,26,30,0,3711,497,2802,0
125490,Draghiceni,OT,0,0,17,0,0,0,0,0,125,0
125542,Oras Corabia,OT,373,0,127,10,20,0,625,121,1145,0
125588,Garcov,OT,0,0,19,0,0,0,0,0,163,0
125622,Oras Draganesti-Olt,OT,124,0,103,0,0,0,708,68,956,0
125659,Babiciu,OT,0,0,13,0,0,0,0,0,128,0
125677,Baldovinesti,OT,0,0,5,0,0,0,0,0,68,0
125757,Barasti,OT,0,0,11,0,0,0,0,0,65,0
125846,Barza,OT,0,0,15,0,0,0,0,0,165,0
125873,Bobicesti,OT,0,0,29,0,0,0,0,0,181,0
125962,Brastavatu,OT,0,0,29,0,0,0,0,0,345,0
125999,Brebeni,OT,0,0,27,0,0,0,0,0,158,0
126022,Brancoveni,OT,0,0,19,0,0,0,0,0,178,0
126077,Bucinisu,OT,0,0,12,0,0,0,0,0,142,0
126102,Cezieni,OT,0,0,14,0,0,0,0,0,109,0
126148,Cilieni,OT,24,0,54,0,0,0,224,0,228,0
