Siruta,X_c1,X_c2
25228,-0.06352069830264366,-0.0004967402004049482
25291,-0.15890231640315108,-0.0004964641090178069
25362,-0.1907234215424638,-0.0004963719997284991
25488,-0.13467906178490657,-0.0004965342255885027
25521,-0.09117524025298349,-0.0004966601516387462
25629,-0.17989852698287734,-0.0004964033334405189
25692,-0.15833043518113518,-0.0004964657643837347
25745,-0.18349320894983434,-0.0004963929282833143
25825,-0.05155204129902538,-0.0004967748448488188
25861,-0.15551187772977115,-0.0004964739229729048
25932,-0.12495708101063643,-0.0004965623668091262
26029,-0.13116607713538042,-0.0004965443942648581
26083,-0.10775979569144431,-0.0004966121460271112
26118,-0.19917909389655591,-0.000496347523960977
26289,-0.08374078436677693,-0.000496681671395683
26320,-0.19411386021584373,-0.0004963621857733943
26338,-0.15257077430226085,-0.0004964824362833476
26346,-0.11331521327674153,-0.0004965960653296165
26353,-0.1845552740764353,-0.0004963898540323241
26361,-0.18962050775714745,-0.000496375192219886
26379,-0.22376998644323917,-0.0004962763432264797
26564,8.818121468873857,-0.0005224489790445353
26582,0.1567352694909049,-0.0004973777527644414
26653,-0.051102706053155755,-0.0004967761454934706
26699,0.1763017770155915,-0.0004974343899269702
26742,-0.13300426677757432,-0.0004965390734458405
26804,0.18381793021922888,-0.0004974561461647365
26840,0.018666803032782845,-0.0004969781001355299
26877,0.46056759301620437,-0.0004982572250289314
26920,-0.19795363413509331,-0.0004963510711736562
26975,0.5075027018802228,-0.0004983930832746788
27007,-0.18578073383789792,-0.000496386306819631
27070,-0.15796279725269638,-0.000496466828547528
27169,-0.15690073212609545,-0.0004964699027985147
27212,-0.16319142556827027,-0.0004964516937734101
27285,-0.14346152340872204,-0.0004965088038976119
27329,-0.1485267570894342,-0.0004964941420851934
27383,-0.05445229606782025,-0.000496766449778807
27436,-0.10367492981990223,-0.0004966239700693862
27506,-0.2305917124487145,-0.0004962565970758732
27560,-0.12148494501982567,-0.0004965724172450663
27631,-0.11478576499049668,-0.0004965918086743865
27686,-0.08157580545485961,-0.000496687938138096
27757,-0.13525094300692247,-0.0004965325702225831
27846,-0.17462905000858808,-0.0004964185864550381
27908,-0.20044540231673397,-0.0004963438585078756
27935,-0.1976268448653699,-0.0004963520170970249
27971,-0.10293965396302467,-0.0004966260983969891
28077,-0.20930956125798025,-0.0004963182003361379
28139,-0.22446441364140135,-0.0004962743331393014
28193,-0.2100448371148578,-0.0004963160720085211
28246,-0.18839504799568485,-0.0004963787394325721
28335,-0.14019363071148835,-0.0004965182631314407
28415,-0.1964422337626227,-0.0004963554460693003
28497,-0.18332981431497267,-0.0004963934012450033
28530,-0.1553893317536249,-0.0004964742776941692
28610,-0.19203057862135725,-0.0004963682160349661
28665,-0.09730253906029661,-0.0004966424155753283
28709,-0.1865568583534909,-0.0004963840602516175
28763,-0.16535640448018754,-0.0004964454270310238
28816,-0.19668732571491523,-0.0004963547366267507
28889,-0.2303057718377065,-0.000496257424758822
28941,-0.18484121468744324,-0.0004963890263493521
29001,-0.12148494501982567,-0.0004965724172450663
29038,-0.17638554233335113,-0.0004964135021168742
29092,0.003675345284223443,-0.0004969347059003824
29154,-0.06213184390631935,-0.0004967442205793245
29243,-0.16515216118661044,-0.0004964460182331281
29341,-0.17850967258655304,-0.0004964073536148847
29403,-0.13602706752251545,-0.0004965303236545556
29467,-0.12720375723998456,-0.0004965558635858827
29519,-0.15792194859398098,-0.0004964669467879502
29573,-0.15400047735730057,-0.0004964782978685386
29662,-0.18978390239200912,-0.0004963747192582063
29724,-0.08950044524565125,-0.0004966649994960701
29760,-0.22046124508729012,-0.0004962859207007101
29813,-0.15391878003986972,-0.0004964785343493854
29902,-0.13578197557022292,-0.0004965310330970949
29948,-0.17291340634254038,-0.0004964235525528051
30014,-0.17062588145447682,-0.0004964301740164768
30069,-0.1737712281755642,-0.0004964210695039331
30149,-0.06519549330997591,-0.0004967353525476157
30229,-0.17205558450951652,-0.0004964260356016863
30274,-0.006781911346924261,-0.0004969044363521591
30336,-0.15493999650775525,-0.0004964755783388244
30416,-0.225403932791856,-0.0004962716136095803
30470,-0.17062588145447682,-0.0004964301740164768
30568,0.04141950593727223,-0.0004970439600510246
30648,-0.20330480842681342,-0.0004963355816782692
30719,-0.16739883741595857,-0.0004964395150098811
30773,-0.16041371677562163,-0.0004964597341221766
30844,-0.18447357675900444,-0.000496390090513164
30871,-0.21147454016989756,-0.000496311933593733
30915,0.23316310994745712,-0.0004975989805954386
30988,-0.15792194859398098,-0.0004964669467879502
31011,-0.10126485895569241,-0.0004966309462543339
31057,-0.22920285805239016,-0.0004962606172502576
31128,-0.18308472236268014,-0.0004963941106875437
