Code,Romanian,Hungarians,Romany,Ukrainians,Germans,Turks,Russians_Lippovans,Tatars,Serbs,Slovaks,Bulgarians,Croats,Greeks,Italians,Jews,Czechs,Poles,Chinese,Armenians,Csango,Macedonians,Another
11174,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11236,97.53577106518283,0.0,2.46422893481717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11307,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11352,50.50727834142038,47.198941332157034,1.7203352448169384,0.0,0.30877812086457873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2646669607410675
11398,89.35935198821797,2.5773195876288657,6.332842415316642,0.20250368188512521,1.527982326951399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11423,37.471846846846844,36.5990990990991,25.64752252252252,0.0,0.28153153153153154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11478,98.93992932862191,0.7067137809187279,0.0,0.0,0.35335689045936397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11502,56.28710199676201,29.951430113329735,8.904479222881813,0.32379924446842956,0.26983270372369134,0.0,0.0,0.0,0.0,4.263356718834323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11539,91.85782707335518,2.5712125031509956,4.613057726241492,0.0,0.5041593143433325,0.0,0.0,0.0,0.07562389715149988,0.15124779430299976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22687169145449962
11584,62.19687367976341,28.018588931136463,8.415716096324461,0.25348542458808615,0.287283481199831,0.0,0.03379805661174483,0.0,0.3633291085762569,0.3548795944233207,0.03379805661174483,0.0,0.0,0.04224757076468103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
